"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,New York,2016,40,1166,8,3,0.94,0.69,0.26
States,New York,2016,41,1135,1,3,0.35,0.09,0.26
States,New York,2016,42,1225,10,1,0.9,0.82,0.08
States,New York,2016,43,1259,5,3,0.64,0.4,0.24
States,New York,2016,44,1241,8,1,0.73,0.64,0.08
States,New York,2016,45,1313,10,1,0.84,0.76,0.08
States,New York,2016,46,1331,13,1,1.05,0.98,0.08
States,New York,2016,47,1256,21,2,1.83,1.67,0.16
States,New York,2016,48,1540,38,8,2.99,2.47,0.52
States,New York,2016,49,991,24,2,2.62,2.42,0.2
States,New York,2016,50,1607,87,4,5.66,5.41,0.25
States,New York,2016,51,1805,190,11,11.14,10.53,0.61
States,New York,2016,52,1831,339,7,18.9,18.51,0.38
States,New York,2017,1,2531,371,18,15.37,14.66,0.71
States,New York,2017,2,1871,323,15,18.07,17.26,0.8
States,New York,2017,3,1973,385,15,20.27,19.51,0.76
States,New York,2017,4,3079,693,44,23.94,22.51,1.43
States,New York,2017,5,2394,628,24,27.23,26.23,1
States,New York,2017,6,2540,716,56,30.39,28.19,2.2
States,New York,2017,7,3176,680,105,24.72,21.41,3.31
States,New York,2017,8,2983,618,96,23.94,20.72,3.22
States,New York,2017,9,2483,325,86,16.55,13.09,3.46
States,New York,2017,10,1566,126,72,12.64,8.05,4.6
States,New York,2017,11,1340,127,77,15.22,9.48,5.75
States,New York,2017,12,1918,88,139,11.84,4.59,7.25
States,New York,2017,13,1972,68,202,13.69,3.45,10.24
States,New York,2017,14,2063,41,247,13.96,1.99,11.97
States,New York,2017,15,1914,31,228,13.53,1.62,11.91
States,New York,2017,16,1747,16,134,8.59,0.92,7.67
States,New York,2017,17,1153,13,79,7.98,1.13,6.85
States,New York,2017,18,989,6,36,4.25,0.61,3.64
States,New York,2017,19,901,2,31,3.66,0.22,3.44
States,New York,2017,20,936,8,28,3.85,0.85,2.99
States,New York,2017,21,793,3,10,1.64,0.38,1.26
States,New York,2017,22,707,7,2,1.27,0.99,0.28
States,New York,2017,23,683,0,4,0.59,0,0.59
States,New York,2017,24,637,5,2,1.1,0.78,0.31
States,New York,2017,25,582,3,5,1.37,0.52,0.86
States,New York,2017,26,513,2,1,0.58,0.39,0.19
States,New York,2017,27,745,2,1,0.4,0.27,0.13
States,New York,2017,28,816,3,2,0.61,0.37,0.25
States,New York,2017,29,758,3,0,0.4,0.4,0
States,New York,2017,30,750,2,3,0.67,0.27,0.4
States,New York,2017,31,738,3,1,0.54,0.41,0.14
States,New York,2017,32,769,1,1,0.26,0.13,0.13
States,New York,2017,33,815,1,0,0.12,0.12,0
States,New York,2017,34,790,4,1,0.63,0.51,0.13
States,New York,2017,35,778,3,0,0.39,0.39,0
States,New York,2017,36,886,3,1,0.45,0.34,0.11
States,New York,2017,37,1040,9,1,0.96,0.87,0.1
States,New York,2017,38,1010,5,3,0.79,0.5,0.3
States,New York,2017,39,1121,9,2,0.98,0.8,0.18
